cand,players,tag,salary,book_rank,book_rank_cov,sel_mean,sel_p194,aud_mean,aud_p194,gen_mean,book_rank_wemax,actual,actual_rank,actual_payout,e_payout,p_cash,p_top1000,p_top100,sim_mean,sim_q99,e_payout_capped,e_log
413,"00-0034796,00-0034798,00-0034844,00-0035659,00-0036223,00-0039064,00-0039146,00-0039361,JAX_DST",boom,49600,,,117.8835,0.0019,117.883484,0.0012,117.8835,,137.16,466867,0.0,2.8709,0.1725,0.0015,0.0005,117.8835,176.42995,2.4709,0.4093158912813991
414,"00-0036275,00-0036900,00-0036971,00-0038120,00-0038606,00-0039849,00-0039893,00-0040663,JAX_DST",boom,49600,17.0,,122.9911,0.0026,122.99111,0.0021,122.9911,,135.2,489138,0.0,5.2144,0.2274,0.0036,0.0004,122.9911,180.06335,3.9644,0.5592151634164791
415,"00-0031588,00-0032764,00-0034844,00-0036973,00-0037740,00-0037809,00-0038997,00-0039910,JAX_DST",boom,49600,,,118.43965,0.0017,118.43965,0.0015,118.43965,,131.45999999999998,530312,0.0,3.5567,0.1781,0.0017,0.0002,118.43965,175.4447,2.5567,0.426614397055671
416,"00-0034844,00-0035662,00-0036389,00-0036912,00-0037239,00-0037248,00-0037291,00-0037809,JAX_DST",boom,49500,,,117.09985,0.0026,117.09985,0.0028,117.09986,,105.42,747665,0.0,5.6356,0.1779,0.0026,0.0005,117.09986,180.50241,3.0856,0.432460416186734
417,"00-0034981,00-0035685,00-0036410,00-0036963,00-0037248,00-0038608,00-0039163,00-0040122,JAX_DST",boom,49300,,,116.34543,0.0024,116.34543,0.0032,116.345436,,150.16,320906,0.0,4.4872,0.169,0.0036,0.0004,116.345436,179.48103,3.4872,0.4207597969992972
418,"00-0033293,00-0034351,00-0034827,00-0034857,00-0036554,00-0037248,00-0038994,00-0039901,JAX_DST",boom,49400,,,109.74935,0.0018,109.74935,0.0025,109.74935,,141.56,417294,0.0,5.8532,0.1384,0.0036,0.0005,109.74935,175.71588,2.9532,0.3479157866579464
419,"00-0032764,00-0034844,00-0036275,00-0036410,00-0039491,00-0039918,00-0040126,00-0041051,JAX_DST",boom,49200,,,118.86572,0.0026,118.86572,0.0027,118.86572,,178.66,85747,8.0,12.8077,0.1875,0.0014,0.0004,118.86574,181.64438,2.6577,0.4501599767992464
420,"00-0033921,00-0034383,00-0034827,00-0035685,00-0036554,00-0039139,00-0039163,00-0040124,JAX_DST",boom,49900,9.0,12.0,123.58782,0.0068,123.58782,0.0087,123.58782,18.0,170.45999999999998,135634,8.0,22.9704,0.2573,0.0102,0.0017,123.58782,189.46523,7.7204,0.670240553322537
421,"00-0033921,00-0034855,00-0036900,00-0037740,00-0039139,00-0039361,00-0040129,00-0041131,LV_DST",boom,50000,,85.0,125.1851,0.0089,125.1851,0.0095,125.1851,,123.24,614723,0.0,4.6635,0.263,0.004,0.0001,125.1851,192.01212,4.5135,0.6476232852823663
422,"00-0034855,00-0035261,00-0036410,00-0036555,00-0037239,00-0038129,00-0040124,00-0040129,JAX_DST",boom,49400,,,121.52753,0.0036,121.52753,0.003,121.52753,,124.24,605168,0.0,3.009,0.2121,0.0016,0.0001,121.52753,181.63307,2.809,0.507047595113104
